Attendance (%),Study Hours (per day),Assignment Score,Previous GPA,Participation Level,Internet Usage (hrs/day),Sleep Hours,Family Support Index,Extra Curricular,Final Exam Score,Pass/Fail,Performance Category
68.73,6.31,60.44,4.85,High,4.2,8.81,3,Yes,100.0,Pass,High
97.54,1.17,44.3,7.43,Low,7.14,5.56,4,Yes,56.97,Pass,Medium
86.6,1.15,64.58,5.11,Medium,6.96,4.49,7,No,64.95,Pass,Medium
79.93,3.27,58.67,5.67,High,7.44,6.63,9,No,84.36,Pass,High
57.8,4.42,80.63,5.31,Medium,3.41,4.29,2,No,69.07,Pass,Medium
57.8,6.39,76.35,5.1,Low,3.84,4.55,4,No,77.98,Pass,High
52.9,5.78,61.88,8.95,Low,2.13,5.1,9,Yes,90.82,Pass,High
93.31,4.12,53.07,5.71,Low,6.9,6.32,2,Yes,71.46,Pass,Medium
80.06,2.92,99.28,9.56,Low,1.36,6.17,10,No,84.78,Pass,High
85.4,7.98,67.24,9.82,Medium,6.38,8.0,1,No,100.0,Pass,High
51.03,3.98,81.3,7.43,Low,8.83,7.7,10,Yes,84.63,Pass,High
98.5,4.16,48.43,4.86,Low,9.02,6.13,8,Yes,82.4,Pass,High
91.62,2.15,69.14,6.25,High,5.04,5.67,9,Yes,82.94,Pass,High
60.62,6.56,41.65,8.79,Low,5.13,5.58,7,Yes,87.58,Pass,High
59.09,5.86,70.33,6.2,High,1.69,7.87,8,No,100.0,Pass,High
59.17,2.55,97.84,4.52,Low,7.04,4.26,4,No,67.1,Pass,Medium
65.21,1.58,63.05,7.34,Low,8.39,4.06,4,No,62.38,Pass,Medium
76.24,5.76,42.34,9.07,High,3.2,7.98,2,Yes,100.0,Pass,High
71.6,5.58,41.86,8.78,Low,4.79,6.39,8,Yes,89.84,Pass,High
64.56,2.91,63.28,5.05,Medium,8.55,4.65,2,No,52.83,Pass,Medium
80.59,7.66,49.6,8.04,Medium,8.89,5.18,9,No,100.0,Pass,High
56.97,2.06,41.4,5.32,Low,3.19,8.66,4,No,59.37,Pass,Medium
64.61,4.03,85.37,5.31,Medium,5.96,8.3,1,Yes,79.16,Pass,High
68.32,7.61,67.51,9.24,High,2.73,7.55,4,No,100.0,Pass,High
72.8,3.94,57.35,5.5,Low,1.92,6.41,3,Yes,63.63,Pass,Medium
89.26,5.47,94.0,5.58,Low,9.2,6.6,6,No,84.67,Pass,High
59.98,3.78,46.97,4.0,High,8.38,8.88,7,No,80.82,Pass,High
75.71,2.92,97.36,9.22,High,7.84,8.83,8,No,100.0,Pass,High
79.62,7.89,58.84,8.76,High,1.44,5.08,2,Yes,100.0,Pass,High
52.32,3.87,93.3,7.76,Low,8.59,8.06,6,Yes,82.71,Pass,High
80.38,7.26,76.18,8.5,High,4.94,4.99,6,Yes,100.0,Pass,High
58.53,2.61,89.6,4.91,High,4.08,5.07,10,Yes,85.33,Pass,High
53.25,2.49,99.04,6.75,Medium,5.92,7.38,5,Yes,78.07,Pass,High
97.44,1.22,57.3,6.11,Medium,1.82,6.03,10,Yes,89.3,Pass,High
98.28,5.56,97.67,4.56,Low,7.81,8.66,10,No,100.0,Pass,High
90.42,3.58,63.37,6.92,Medium,6.24,4.45,7,Yes,75.91,Pass,High
65.23,7.05,63.13,9.52,Medium,2.68,6.56,3,No,100.0,Pass,High
54.88,4.31,60.42,4.24,High,2.69,8.59,4,Yes,90.36,Pass,High
84.21,7.78,72.48,5.75,High,2.66,8.52,10,No,100.0,Pass,High
72.01,2.3,49.25,5.25,Medium,1.51,4.78,9,No,79.64,Pass,High
56.1,7.08,73.22,5.43,Medium,6.29,5.83,4,Yes,82.81,Pass,High
74.76,6.44,72.5,9.45,Medium,8.56,7.1,3,No,94.54,Pass,High
51.72,6.4,85.71,6.81,Low,1.16,4.8,2,Yes,90.51,Pass,High
95.47,6.91,90.02,6.8,Low,1.44,8.84,5,Yes,100.0,Pass,High
62.94,6.33,66.43,8.56,Low,6.15,8.57,4,Yes,93.95,Pass,High
83.13,5.38,58.14,4.93,Medium,8.38,4.83,8,Yes,84.61,Pass,High
65.59,1.92,55.56,6.92,Medium,3.94,4.61,7,No,76.74,Pass,High
76.0,1.23,51.68,6.58,Low,4.15,4.43,6,Yes,58.85,Pass,Medium
77.34,7.45,43.46,7.58,Low,6.37,8.55,2,No,91.61,Pass,High
59.24,5.32,60.55,10.0,Medium,3.47,4.97,3,No,94.0,Pass,High
98.48,6.58,56.21,8.62,High,1.24,6.08,10,No,100.0,Pass,High
88.76,4.37,97.99,6.39,Low,7.62,6.24,9,Yes,94.85,Pass,High
96.97,1.82,73.46,8.97,Medium,6.63,7.0,9,No,92.89,Pass,High
94.74,1.88,60.84,5.02,Medium,6.23,4.36,5,Yes,64.74,Pass,Medium
79.89,5.8,74.83,4.18,High,7.68,5.13,3,No,89.08,Pass,High
96.09,4.01,48.35,5.23,Medium,7.08,8.66,2,Yes,75.03,Pass,High
54.42,2.4,66.64,6.04,Medium,2.85,8.54,8,Yes,80.12,Pass,High
59.8,4.44,77.57,7.06,Low,4.17,7.91,6,Yes,79.55,Pass,High
52.26,1.45,69.33,7.69,Low,2.13,4.1,10,Yes,73.23,Pass,Medium
